text,label,source
Con đĩ Linh nc ngu vãi! Ai xuống thăm nó chưa nhỉ,hate,vihsd
Cực kỳ thuyết phục!!,safe,vihsd
Ba Cát Lượng mới phải chứ thầy,safe,vihsd
Quang Khải tối nay :),safe,vihsd
Hôm nay đảo ngói nè 😆,safe,vihsd
Mis Nhung,safe,vihsd
"Và chúng nó nghĩ rằng đây là ""Sáng Tạo"" chứ ko phải ""Ngu Si"" hay ""Giết Người"" 😡😡😡",safe,vihsd
Cũng hợp lí🤦‍♀️🤦‍♀️,safe,vihsd
Có nên tặng anh độ con iPhone 11pro max này để GA cho anh em ko nhỉ ??,safe,vihsd
Hai cái bánh mỳ tại sài gòn,safe,vihsd
Đừng cho bà linh đó về nước nha mọi người,safe,vihsd
Đoạn đầu có lẽ hop lí ...đoạn sao k thuyết phục cho lấm,safe,vihsd
Okela sơnbamtp,safe,vihsd
Ngáo thế,toxic,vihsd
"Đừng lấy lí do trời mưa nên ko stream đc nha anh già , anh trốn việc hơi lâu r đấy =)))) kệ con mẹ giải đi , mấy giải Thái Lan ai mà thèm , em chỉ thèm giải ao làng của anh thôi",toxic,vihsd
Đây mới là người có bản lĩnh thực sự 👍,safe,vihsd
Hay lắm á. Xem thử đi ạ.,safe,vihsd
"Sau khi đọc hết bài viết của NLS, tôi thấy chi tiết này khá bất lợi cho HDH. Do Hải đưa tiền cho c Vân đi mua trái cây, dựa vào ánh đèn trên lầu 1, và thức ăn nhuyễn trong dạ dày và luật sư đặt ra giả thuyết vụ án phải xảy ra sau 22h30. Nhưng khi có kh",safe,vihsd
hitman :))),safe,vihsd
"ý thức tý đi nào, không người ta lại nghĩ mình quốc tịch Hàn đấy :)))))",safe,vihsd
Minh Hoàng đúng dân chơi,safe,vihsd
"Mấy thím cứ chửi hoài , Việt Nam! Cũng zúng như nhật đó . Vẫn giữ nhà sv nghìn tỉ pv cho 1 sv đó :))",safe,vihsd
Đốt xác mày cho biết tay,violence,manual_augmentation
Nguyễn Thành Nam wtf tick xanh,safe,vihsd
😁😁😁,safe,vihsd
Ngài bình an là dân trong nước bọn con mừng rồi. Ngai mà chết thì ai mua vui cho bon con,safe,vihsd
Cực kì cute có nhiều tài lẻ 🙂 nhất là cà khịa,safe,vihsd
Nguyên Phạm hôm nay anh mới thấy.,safe,vihsd
"ủa, có gì lạ hả :))",safe,vihsd
mày nói ai đấy son henry,safe,vihsd
Hay quá thầy ưiiii,safe,vihsd
Chứ tưởng đổi giáo an TF 0156,safe,vihsd
Maruko Linh gấu mèo bắc mỹ,safe,vihsd
Thấy nước ngta thấy ham nhìn lại xứ vịt ngan chán,toxic,vihsd
Tao sẽ giết mày,violence,manual_augmentation
Đm,toxic,vihsd
GAM thua cái củ cặc nhé !!,toxic,vihsd
Đấng chíp chất thật,safe,vihsd
Thy Thy đây này,safe,vihsd
"Cộng sản là thế, muôn đời",hate,vihsd
Con lợn này béo vãi lon. Bắp tay to bằng ngón chân =)),toxic,vihsd
Nguyễn Minh Thu thế lại hơi liều quá :))),safe,vihsd
Nhìn tướng của nhà tiên tri mà tôi thấy bần tiện lưu manh thế nào í,hate,vihsd
Anh có thể bớt xạo cho dân tình đỡ ghét anh đi =))),hate,vihsd
A sinh ra và nớn nên ở vùng quê Cao Bằng dấu yêu :3,safe,vihsd
Thường thôi Lê Kỳ Duyên,safe,vihsd
Âm nhạc có bao giờ chán,safe,vihsd
Chiếc túi dành cho mấy đứa hay ỉa dạo:)),safe,vihsd
Ủng hộ thôi chứ cảm thấy bài này không hay bằng những bài trước..ý kiến riêng,safe,vihsd
Đẹp vl a ưi,safe,vihsd
Tứ chi phát triển mà não đéo phát triển 😔,toxic,vihsd
0:50,safe,vihsd
Xã hội bồng bềnh.,toxic,vihsd
Thiếu cái mụn ruồi :V đây khôngg phải anh Độ taoo,safe,vihsd
Anh cút cm luôn hộ em cái 🤣🤣,safe,vihsd
Chị đẹp wá ak,safe,vihsd
"Chào bác tiên tri. Bác tiên tri ji mình đoán ngược lại.tui cam đoan ,tấc nhiêng là đúng",safe,vihsd
"Lũ bất tài, vô dụng, học hành không lo, lo ăn chơi, lười biếng xong đổ cho "" Xã hội đổ nát, nhà nước vô dụng "".... Xin lỗi chứ một chục cái nước Mĩ cũng chả gánh nổi đám phá của tụi mày đâu :/",hate,vihsd
đm thề chưa bao giờ xem phim mà ngủ =)) đây là lần đầu,toxic,vihsd
Sặc máu với bả😭😭😭😭,safe,vihsd
Em chào chị.. chị xinh quá .. thương chị quá...,safe,vihsd
"tết thủ sẵn 10 cốc dingtea tủ lạnh, đi đâu mà phải diện",safe,vihsd
Dơ quá,toxic,vihsd
Yêu nhau ngại mỗi cái đấy😴,safe,vihsd
Dạo này nhìn chú em đẹp troai hơn đó...  😁,safe,vihsd
Nhanh chậm cái con mẹ chúng mày =))),toxic,vihsd
Khỏi lo cho tôi . Hãy tự lo cho bản thân mình ấy .,safe,vihsd
"Ơn dời ông ấy còn sống,ông ấy làm tôi phải buồn mấy hum nay..tưởng ông ấy bỏ diễn hài mà đi theo cô vi 19tuổi rùi chứ",safe,vihsd
Tuyệt đối tin Đảng và nhà nước.nhất là bệnh viện_ nơi cứu người,safe,vihsd
Cái ảnh trên cùng hình như là cầu vượt chỗ KCN Phúc Điền HD.,safe,vihsd
"Phố bolsa là nơi bịa đặt  đồn tin thất thiệt lại có những người phét lác như trần dần thế mà vẫn có những người tin đúng là "" ngưu tầm mưu mã tầm mã""",hate,vihsd
Nát từ trong ra ngoài 😏😏😏,safe,vihsd
An cư lập nghiệp có vẻ hợpnlys,safe,vihsd
Chửi hay ghê kkk,safe,vihsd
Máy tính là niềm zui :((((,safe,vihsd
Hàn quốc chứ,safe,vihsd
Giang hôm qua ở hoàn kiếm à ô,safe,vihsd
Hot girl quốc dân BeBa ozawa :),safe,vihsd
Minh Anh,safe,vihsd
Lốp là m đấy,safe,vihsd
Cừi ẻa á,safe,vihsd
Phải có cái đầu,safe,vihsd
Cô nói chuyện thật thà quá.. Thương cô quá trời luôn 😚😚,safe,vihsd
Yêu cô quá,safe,vihsd
Đinhh Thị Hoàii Thuu ngủ mẹ m đi,toxic,vihsd
Sắp tè le hột me hết r chứ ở đó mà tính hàng chục,safe,vihsd
Lê Văn Triết :v,safe,vihsd
Học sinh như cái đách l abe,hate,vihsd
:))) hay anh,safe,vihsd
Nhảy cầu cho xong,suicide,manual_augmentation
"Vâng! Xin giới thiệu vs các bạn, đây là ông Cao Thất Đức!",hate,vihsd
Combo bất hạnh,safe,vihsd
Chi e thich chi . Chi dep,safe,vihsd
Chống dịch như chống giặc,safe,vihsd
Chỉ sợ khi a thành công r thì ng phụ nữ bên cạnh a kh phải là e thôi🙈🙈,safe,vihsd
Đúng rồi.Chứ k phải do mấy thằng bụng bầu rước giặc về diệt chủng đồng bào đâu,hate,vihsd
Bốc họ chăn gái,toxic,vihsd
"Nói quá đúng , chỉ buồn con người VN hiện giờ đã quá sợ hãi trước sự tàn ác của cs nên họ bịt tai ,bịt mắt ,bịt miệng trước nỗi đau của đồng bào ,đồng loại nhưng họ ko hiểu rằng ""hôm nay là chuyện đã xãy ra với anh ấy , ngay mai nó sẽ xảy ra là chính mình"" . Bởi thế có bịt tai ,bịt mắt cũng vô ích , hãy liên kết để hành động vì sự thật ,vì lẽ phải.",safe,vihsd
"Nhạc hay , nhưng mà mn có nghe đk lời bài hát ko",safe,vihsd
Trần Công Luận đem đi tử hình cho nó lẹ phạt chi cho nó mệt,toxic,vihsd
"Nguyễn Thảo em thấy cũng đúng, hồi trước mướn cho nhìu ko có khách, h có khách nhìu thì lại cắt kiu do dịch, ko hiểu nổi cái suy nghĩ của ng làm chủ hỷ",safe,vihsd
"Pha đánh răng ám ảnh nhất lịch sử điện ảnh, có thể lưu truyền mọi thời đại, là biểu tượng để các diễn viên học tập theo🤣🤣🤣🤣",safe,vihsd
Anh coi chừng k là nó cũng cho a ra đường ở 🤣,safe,vihsd
tr ơi nhìn thầy giống con póng quá à.,hate,vihsd
"Cái miệng nói vậy, chứ m không thấy hả. Nó mê tk đó như chết đi sống lại",safe,vihsd
Ngon phết nhờ =))),safe,vihsd
"Tao theo lon may tao treo len cay dua ,chi chuoi nge vui qua de thuong",safe,vihsd
Thành kính phân ưu tới gia đình thấy Đào Quang Thực . Nguyện cầu cho thầy được về cõi bình yên .,safe,vihsd
Phạm Huyền Trang =))) đừng về nước lúc này nhé k đón đâu=))),safe,vihsd
sếp lên live đi,safe,vihsd
"Ở VN bầu cử CTN đạt những 99,79%.😀",safe,vihsd
Be de khung,hate,vihsd
Yêu người con gái Khmer kìa. Ngay bài idol,safe,vihsd
"Em nó vào tù chỉ vì ngu mà chết. Chúng nó ở Mẽo nhận đc gói tiền to to, ném tiền về với gói nhỏ nhỏ, đến lúc em này đc nhận chỉ là 200k và tù. Ngu chưa con",hate,vihsd
Hãy cứ làm chính mình a nhé chúng em luôn ủng hộ anh =)),safe,vihsd
Duyên Phạm wow để c tag c Nga nha D 😂,safe,vihsd
Senna said:,safe,vihsd
Line up này không sợ 1 team nào trên thế giới =)),safe,vihsd
Chú ngủ ngon :33,safe,vihsd
Quang Nam ơ thế tôi đọc nhầm sorry 😂😂,safe,vihsd
K thể nói ra rằng tôi đag rất k ổn...😓,safe,vihsd
Yêu tất cả anh em ❤️,safe,vihsd
;((,safe,vihsd
Nhảy cầu cho xong,suicide,manual_augmentation
đau cả rọt :))))),safe,vihsd
Nguyễn Khánh Toàn hàng 1.1 đó a hai,safe,vihsd
có bán vỉ 2vien dùng thử ko,safe,vihsd
7:12,safe,vihsd
"Chuc chi buoi toi that vui va cuoi nhieu tre Mai khong Gia chi,oi. Goodnight chi yeu!",safe,vihsd
Là như này nè các bác,safe,vihsd
Do Dat xó nào cũng có mặt anh 🙄,safe,vihsd
tức nhiêng là tức nhiêng là tui tức nhiêng là không bị tức nhiên virus tức nhiêng rocona.,safe,vihsd
Chị lên chị chửi là để cứu nhân độ thế =))),safe,vihsd
Sao phải xin lỗi csgt ?,safe,vihsd
Đức Thịnh 😒😒😒😒😒,safe,vihsd
Quan trong la sau nay con moc nhieu nha may nhu the nua ko moi qua trong,safe,vihsd
Giết cả gia đình mày,violence,manual_augmentation
Nhìn cái poster ngầu lòii 😎😎 xem MV hong bt có hoảng hốt hong nhỉ :))),safe,vihsd
"Trần Huấn đau, ai lại nói đệ e như thế",safe,vihsd
Đặng Thị Mỹ Duyên bớt nói linh tinh,safe,vihsd
Hợp lý vl =))),safe,vihsd
Nhạc hay nè ❤🐝,safe,vihsd
dừng là đúng a ơi 😆😆 dừng luôn đi cũng được,safe,vihsd
HỢP LÝ :)),safe,vihsd
Emma Nguyen vậy mà ca ngợi bên kia lắm... Về làm lol gì,toxic,vihsd
Deoooo nhaa thầy 😚😚,safe,vihsd
Danh mục xe ô tô và xe cộ,safe,vihsd
Anh em cc,toxic,vihsd
"Thật ác độc quá đi,ảnh chỉ mất show thời corona ạm thời thôi",safe,vihsd
Thiên đường của cs!,hate,vihsd
Đem địch vào Vn hoài làm sao người dân chống nỗi đây Bác ơi.,safe,vihsd
"mới thông báo tối nay công bố lại ròi ông ơi, đợi tí tầm 8h ko có ròi chửi tiếp",safe,vihsd
Được anh 😂,safe,vihsd
Bố m bụng có phệ k ad?,safe,vihsd
Lộc Phát cúttttttttt⛏⛏🔪🔪,toxic,vihsd
Khoảng cách là gì mà ghê gớm vậy? Chỉ có khoảng cách trong tâm trí thôi chứ khoảng cách địa lý chả có ý nghĩa gì nếu thật lòng🙄,safe,vihsd
Tưởng thắm bán page ????,safe,vihsd
Nhảy thế kia nhỡ may tiếp đất ko chuẩn lại ngã thì sao. thôi tôi tớ nhiều cứ bảo 1 thằng ra cõng cho chắc. :)),safe,vihsd
ở đâu có púck ở đó có tấu hài,safe,vihsd
Lona Trần sợ mài nghĩ tới kao những lúc cao trào.... ớn ák 😱,safe,vihsd
Tao sẽ hành hạ mày đến chết,violence,manual_augmentation
Anh ấy nói đúng rồi chỗ này a ấy ở không đc là đúng rồi đề nghị chuyển mẹ a tiệp vào nhà xác ở cho nó ấm cúng 🙂,hate,vihsd
Vinh Võ cười đái,safe,vihsd
Em gái xinh toá nè,safe,vihsd
Cố lên Thầy,safe,vihsd
Tấm thứ 3 đó,safe,vihsd
Nhục mặt chửi nhau roi giờ chơi nhau chửi mướn đề con vk trả tien kaaaaaa,toxic,vihsd
Kkkkk,safe,vihsd
ở xứ xở thiên đường phải z chứ,safe,vihsd
Rất ngưỡng mộ chị. Chị thật thà có sao nói vậy. Chị làm ăn đàng hoàn. Chị là một tấm gương để đàn em lgbt Việt Nam noi theo.,safe,vihsd
uầy chơi gắt thế :)))),safe,vihsd
Cc,toxic,vihsd
Được thế còn gì bằng 😀,safe,vihsd
